param n := 16;
param COST := 
1 2 6
1 3 5
1 4 3
1 5 11
1 6 8
1 7 7
1 8 1
1 9 12
1 10 8
1 11 26
1 12 5
1 13 5
1 14 5
1 15 7
1 16 1
2 1 6
2 3 1
2 4 4
2 5 17
2 6 14
2 7 13
2 8 6
2 9 17
2 10 13
2 11 32
2 12 11
2 13 11
2 14 11
2 15 13
2 16 7
3 1 5
3 2 1
3 4 5
3 5 16
3 6 13
3 7 12
3 8 6
3 9 16
3 10 12
3 11 31
3 12 10
3 13 10
3 14 11
3 15 12
3 16 6
4 1 3
4 2 4
4 3 5
4 5 13
4 6 11
4 7 10
4 8 3
4 9 15
4 10 11
4 11 28
4 12 8
4 13 8
4 14 8
4 15 9
4 16 5
5 1 11
5 2 17
5 3 16
5 4 13
5 6 4
5 7 6
5 8 11
5 9 8
5 10 8
5 11 16
5 12 7
5 13 7
5 14 6
5 15 4
5 16 11
6 1 8
6 2 14
6 3 13
6 4 11
6 5 4
6 7 1
6 8 8
6 9 5
6 10 4
6 11 17
6 12 3
6 13 3
6 14 3
6 15 3
6 16 8
7 1 7
7 2 13
7 3 12
7 4 10
7 5 6
7 6 1
7 8 7
7 9 5
7 10 3
7 11 18
7 12 2
7 13 2
7 14 2
7 15 3
7 16 7
8 1 1
8 2 6
8 3 6
8 4 3
8 5 11
8 6 8
8 7 7
8 9 12
8 10 8
8 11 26
8 12 5
8 13 5
8 14 5
8 15 6
8 16 2
9 1 12
9 2 17
9 3 16
9 4 15
9 5 8
9 6 5
9 7 5
9 8 12
9 10 4
9 11 15
9 12 7
9 13 7
9 14 7
9 15 8
9 16 11
10 1 8
10 2 13
10 3 12
10 4 11
10 5 8
10 6 4
10 7 3
10 8 8
10 9 4
10 11 19
10 12 3
10 13 4
10 14 4
10 15 6
10 16 7
11 1 26
11 2 32
11 3 31
11 4 28
11 5 16
11 6 17
11 7 18
11 8 26
11 9 15
11 10 19
11 12 20
11 13 21
11 14 20
11 15 20
11 16 25
12 1 5
12 2 11
12 3 10
12 4 8
12 5 7
12 6 3
12 7 2
12 8 5
12 9 7
12 10 3
12 11 20
12 13 0
12 14 1
12 15 3
12 16 5
13 1 5
13 2 11
13 3 10
13 4 8
13 5 7
13 6 3
13 7 2
13 8 5
13 9 7
13 10 4
13 11 21
13 12 0
13 14 1
13 15 3
13 16 4
14 1 5
14 2 11
14 3 11
14 4 8
14 5 6
14 6 3
14 7 2
14 8 5
14 9 7
14 10 4
14 11 20
14 12 1
14 13 1
14 15 2
14 16 5
15 1 7
15 2 13
15 3 12
15 4 9
15 5 4
15 6 3
15 7 3
15 8 6
15 9 8
15 10 6
15 11 20
15 12 3
15 13 3
15 14 2
15 16 7
16 1 1
16 2 7
16 3 6
16 4 5
16 5 11
16 6 8
16 7 7
16 8 2
16 9 11
16 10 7
16 11 25
16 12 5
16 13 4
16 14 5
16 15 7
;
